822,875,1688,2983,2174,4277,3307,1629,3875,2126,2974,3203,4932,4689,1649,3137,3585,545,4623,4496
1901,3549,4353,1573,94,855,480,315,2879,1198,1901,3549,4792,1000,575,2459,4353,3074,1966,2979
1102,1020,1406,674,3960,2593,1185,2177,3871,4005,1102,1020,1406,674,3960,2593,3307,1185,2177,1688
1353,2193,756,3094,1144,2369,2404,467,1139,1792,1353,4616,824,4668,2193,3804,2286,756,2754,4211
89,968,499,2307,2733,3177,4556,567,2944,3426,1993,2141,1675,1136,271,1269,3316,447,3249,614
2251,3531,878,627,3767,2567,2048,622,1322,1912,2251,3531,878,4470,627,3767,1351,3861,216,351
2954,793,1820,4828,3310,4781,3537,2284,3898,2664,2954,793,3535,1820,4828,3310,4781,3537,3339,2284
2167,1598,1979,488,3861,792,611,4122,2006,472,2863,3954,4742,1959,2630,1364,1052,2310,2567,1028
3660,3984,4167,4422,733,3127,335,626,3370,2531,3660,2968,3984,4167,154,2012,4422,1604,733,4624
1548,1857,2502,845,2295,1934,2120,2116,2557,268,1548,1857,1130,3678,193,2502,645,1513,1660,2339
2455,2653,1034,3343,855,3152,3105,4303,1152,2175,467,3003,1589,2455,4753,1630,443,2565,2511,3580
1267,2075,1448,3783,4229,2157,3353,4548,424,209,4040,1005,1952,4658,1267,2426,2062,1285,2075,190
408,128,2843,1756,1302,1377,1537,577,137,2019,408,128,755,4628,2843,1756,2103,2252,1578,1302
847,1076,593,4896,1795,3983,3510,4185,195,31,3657,1365,847,4478,4471,1076,593,2847,3120,1776
4911,1520,1536,2629,2211,1637,1687,317,4398,4526,2380,4911,2361,1741,4646,4432,1762,1686,108,1549
4841,2076,1542,2566,3230,4088,4623,3007,2333,4337,164,4841,2076,1542,1629,1246,877,538,838,3667
3311,578,1129,1993,1136,447,924,4780,3454,984,4679,3311,4972,1604,3831,157,2220,3370,417,3482
4693,2845,3331,2120,3933,1548,1857,1934,3637,2950,1689,3180,4693,4858,1518,645,3315,1850,1697,1569
1448,3466,424,3601,910,1541,4229,4073,1156,1534,3784,4708,2608,3203,2098,875,1397,545,458,2177
3661,588,2353,106,631,1359,4248,4446,4475,1919,3661,3337,588,2353,106,859,3798,4272,631,1359
4297,2373,2084,483,1745,2060,4243,4278,4657,4305,4334,1844,4546,2903,270,3755,1970,4297,2373,1242
3007,3230,4623,3936,4337,1697,4088,842,4841,2566,4076,3007,2637,3230,1569,4623,276,4876,16,1721
3904,2264,1496,2638,1475,2630,3135,3954,818,4700,3904,4673,2264,4680,1496,2638,1351,4742,1475,2630
797,2164,4419,4965,42,4839,2649,1159,3112,2717,797,2164,2625,4230,4419,2584,2063,3090,1077,4965
3742,3613,1367,2785,4467,3123,4856,311,1000,326,3742,3613,1367,4306,377,1402,3854,2785,4493,4003
2793,2861,51,2879,1376,4353,2394,2463,4430,1901,395,3974,1947,4610,1782,4411,4962,2793,3169,723
2344,4564,95,4662,1610,3912,4568,596,3589,4398,2344,3970,3898,4564,95,2307,2913,3785,2532,4662
3621,3549,1376,4048,3897,1198,2879,1901,94,3718,3811,4014,2598,266,4668,2314,3185,827,3987,1106
339,326,3724,3147,4885,1990,318,4933,1132,4145,2675,2445,3190,339,1168,1854,4569,3289,1515,4931
567,4322,463,3177,829,110,1499,1545,1671,4612,4835,1853,1119,3967,3454,763,2109,4647,786,2196
3406,3788,3331,1950,3265,481,4821,2950,1473,2753,3943,1596,3230,2521,4156,3406,2280,4337,1897,2603
2217,1198,94,3718,1,3556,3821,3549,3897,1376,2519,3399,3474,2731,2217,1198,3986,4569,1878,326
4044,4830,3018,2073,369,2133,3942,3136,3227,1889,4044,4830,3610,2521,3018,3766,478,4439,2073,309
1995,673,3439,2877,2930,3584,926,3266,2718,681,3231,1995,2322,4829,1456,1569,4932,673,2188,3439
4968,1188,1607,358,2083,4583,3830,3050,3001,1955,2396,4667,4968,1188,1607,358,2387,57,2911,728
669,3888,4686,3284,4853,4145,1885,3030,2208,2569,3284,619,4490,4415,701,4974,2825,4597,4744,303
3546,262,2044,2763,3585,1463,3203,809,1943,330,1688,3546,262,2291,3307,2397,2044,2763,3585,757
3129,4835,4925,2409,2828,1119,2109,944,954,1879,2024,786,4626,4183,3129,3274,3093,4835,1478,3300
245,3134,356,4758,1371,3263,2011,1357,2460,3242,245,3134,356,4758,1371,3263,2011,1357,2460,3242
2647,3542,726,283,952,1588,703,1274,4561,3232,2647,4579,3542,726,1598,4265,4751,2006,488,1736
3152,1034,2455,3343,2175,2653,3411,3040,1050,855,436,3152,3130,134,806,554,3740,1201,3558,3003
4866,261,4450,3811,4890,4014,4668,3561,3810,2314,4211,2128,1177,1566,4866,3493,2805,1106,3591,1455
1717,4064,1075,2253,1459,3957,3118,548,2190,2815,2691,4729,3361,3046,1717,1886,2510,4064,2180,1075
4548,3783,3353,2176,1774,4272,439,4229,2075,1286,2556,1681,897,876,1399,4382,729,1005,2062,3166
366,672,4323,1750,3015,3078,4418,1647,905,602,366,672,216,4323,1750,3503,3015,3078,4418,1647
4192,2264,3767,3954,4894,818,2980,1369,2218,2057,4742,4192,3359,2264,3767,3954,4994,3861,4894,818
763,2943,2105,4183,2183,2734,1749,112,4609,1075,786,763,3129,2840,1247,2943,1453,2105,4183,2183
2992,2664,3310,4828,1775,4818,4458,793,1595,3630,2992,2664,3310,4828,1775,4818,4458,793,1595,3630
4861,2380,1320,1297,1747,1679,3855,1471,2624,3066,4202,1489,601,2192,2743,2091,4861,3422,3643,1304
3172,2322,4689,877,4117,1794,1943,3808,4829,1463,3172,1811,2333,2322,2994,4689,1503,877,4117,4841
1808,2619,3050,1827,1398,4968,2806,4329,67,2545,2586,1808,3977,3846,2297,3281,2619,3489,1551,623
1497,2753,3265,4313,242,481,2792,2798,3407,2642,1497,1140,3239,3882,3194,1728,647,2753,3265,4356
4720,3937,2475,4268,1875,1848,2772,806,1557,377,1815,4720,3937,2475,4482,4268,1875,2499,4534,436
4885,326,4933,3723,906,3961,4373,4145,238,1203,4931,1515,1500,1635,4885,751,4630,3399,326,1989
4516,2975,935,1866,2777,2291,2327,2710,2726,1720,3809,2872,2588,523,3877,910,4342,4812,2160,864
4318,3845,3926,2255,3858,4790,1019,3787,2997,2649,4318,3381,483,3845,3926,2998,2255,3858,3918,4790
78,2733,1054,3030,2388,2581,1671,524,1166,1494,925,1250,78,2664,3898,3295,2040,2273,1595,2992
830,4137,841,213,3581,3060,4240,1142,3238,3309,830,4137,841,213,3581,3060,4240,1142,3238,3309
400,4759,1843,1827,1516,1655,1151,1039,3332,2274,4551,1675,400,3316,2141,3213,2604,4873,2211,4594
611,1598,2167,411,472,488,2006,4358,1244,3609,1041,2493,611,4535,1612,1598,4020,489,2821,831
108,3375,2610,2334,4399,85,511,4259,4613,4678,3388,1820,793,761,4676,2607,108,3375,4828,3898
4801,957,659,2796,3041,1299,1963,1111,1364,3342,4801,957,2407,1535,659,4528,2796,3041,1299,4004
786,2050,3046,1281,2729,157,1604,2822,4970,2743,1634,2425,4048,2663,2109,1119,1567,3348,786,4835
3232,726,4469,3681,336,283,703,1303,3812,952,3232,726,4469,4579,1384,3681,336,4528,283,2827
1557,1875,3937,1848,806,4268,2844,668,4720,4905,1557,1875,3937,2499,1848,3130,806,4482,1815,4268
